Start,Target,Distance
Aberdeen,Aberdeen,0
Aberdeen,Adelaide,8929
Aberdeen,Algiers,2379
Aberdeen,Amsterdam,640
Aberdeen,Ankara,2938
Aberdeen,Asuncin,5588
Aberdeen,Athens,2707
Aberdeen,Auckland,9486
Aberdeen,Bangkok,9173
Aberdeen,Barcelona,1853
Aberdeen,Beijing,7544
Aberdeen,Belm,7441
Aberdeen,Belfast,425
Aberdeen,Belgrade,1908
Aberdeen,Berlin,904
Aberdeen,Birmingham,634
Aberdeen,Bogot,8501
Aberdeen,Bombay,7025
Aberdeen,Bordeaux,1500
Aberdeen,Bremen,601
Aberdeen,Brisbane,10161
Aberdeen,Bristol,736
Aberdeen,Brussels,825
Aberdeen,Bucharest,2229
Aberdeen,Budapest,1618
Aberdeen,Buenos Aires,4816
Aberdeen,Cairo,3764
Aberdeen,Calcutta,7648
Aberdeen,Canton,8905
Aberdeen,Cape Town,2941
Aberdeen,Caracas,7538
Aberdeen,Cayenne,7302
Aberdeen,Chihuahua,8115
Aberdeen,Chongqing,8005
Aberdeen,Copenhagen,639
Aberdeen,Crdoba,5426
Aberdeen,Dakar,4984
Aberdeen,Darwin,10881
Aberdeen,Djibouti,6198
Aberdeen,Dublin,561
Aberdeen,Durban,3801
Aberdeen,Edinburgh,261
Aberdeen,Frankfurt,876
Aberdeen,Georgetown,7412
Aberdeen,Glasgow,277
Aberdeen,Guatemala City,8506
Aberdeen,Guayaquil,9025
Aberdeen,Hamburg,683
Aberdeen,Hammerfest,1688
Aberdeen,Havana,7162
Aberdeen,Helsinki,1282
Aberdeen,Hobart,8368
Aberdeen,Hong Kong,9099
Aberdeen,Iquique,6820
Aberdeen,Irkutsk,5855
Aberdeen,Jakarta,10218
Aberdeen,Johannesburg,4061
Aberdeen,Kingston,7391
Aberdeen,Kinshasa,6068
Aberdeen,Kuala Lumpur,10150
Aberdeen,La Paz,7031
Aberdeen,Leeds,504
Aberdeen,Lima,7953
Aberdeen,Lisbon,2222
Aberdeen,Liverpool,517
Aberdeen,London,747
Aberdeen,Lyons,1388
Aberdeen,Madrid,1961
Aberdeen,Manchester,513
Aberdeen,Manila,10193
Aberdeen,Marseilles,1642
Aberdeen,Mazatln,8595
Aberdeen,Mecca,5019
Aberdeen,Melbourne,8825
Aberdeen,Mexico City,8594
Aberdeen,Milan,1466
Aberdeen,Montevideo,4677
Aberdeen,Moscow,2099
Aberdeen,Munich,1154
Aberdeen,Nagasaki,8807
Aberdeen,Nagoya,8748
Aberdeen,Nairobi,6956
Aberdeen,Nanjing (Nanking),8342
Aberdeen,Naples,2093
Aberdeen,New Delhi,6452
Aberdeen,Newcastle-on-Tyne,381
Aberdeen,Odessa,2260
Aberdeen,Osaka,8843
Aberdeen,Oslo,471
Aberdeen,Panama City,8399
Aberdeen,Paramaribo,7355
Aberdeen,Paris,1048
Aberdeen,Perth,8269
Aberdeen,Plymouth,856
Aberdeen,Port Moresby,11901
Aberdeen,Prague,1103
Aberdeen,Rangoon,8639
Aberdeen,Reykjavk,1228
Aberdeen,Rio de Janeiro,5069
Aberdeen,Rome,1935
Aberdeen,Salvador,5850
Aberdeen,Santiago,5628
Aberdeen,St. Petersburg,1574
Aberdeen,So Paulo,5158
Aberdeen,Shanghai,8585
Aberdeen,Singapore,10526
Aberdeen,Sofia,2231
Aberdeen,Stockholm,902
Aberdeen,Sydney,9371
Aberdeen,Tananarive,5676
Aberdeen,Teheran,4329
Aberdeen,Tokyo,8878
Aberdeen,Tripoli,2920
Aberdeen,Venice,1542
Aberdeen,Veracruz,8403
Aberdeen,Vienna,1398
Aberdeen,Vladivostok,7837
Aberdeen,Warsaw,1313
Aberdeen,Wellington,8971
Aberdeen,Zrich,1242
Adelaide,Aberdeen,8929
Adelaide,Adelaide,0
Adelaide,Algiers,10862
Adelaide,Amsterdam,9377
Adelaide,Ankara,8802
Adelaide,Asuncin,7673
Adelaide,Athens,9556
Adelaide,Auckland,3253
Adelaide,Bangkok,4481
Adelaide,Barcelona,10439
Adelaide,Beijing,2033
Adelaide,Belm,9933
Adelaide,Belfast,9145
Adelaide,Belgrade,9231
Adelaide,Berlin,8990
Adelaide,Birmingham,9492
Adelaide,Bogot,7385
Adelaide,Bombay,6650
Adelaide,Bordeaux,10258
Adelaide,Bremen,9100
Adelaide,Brisbane,1676
Adelaide,Bristol,9549
Adelaide,Brussels,9541
Adelaide,Bucharest,8867
Adelaide,Budapest,9066
Adelaide,Buenos Aires,7130
Adelaide,Cairo,9526
Adelaide,Calcutta,5031
Adelaide,Canton,2719
Adelaide,Cape Town,10206
Adelaide,Caracas,7641
Adelaide,Cayenne,9375
Adelaide,Chihuahua,3085
